customer_id;signup_date;age;gender;annual_income;education;marital_status;dependents;tenure;contract;payment_method;paperless_billing;senior_citizen;monthlycharges;totalcharges;num_services;has_phone_service;has_internet_service;has_online_security;has_online_backup;has_device_protection;has_tech_support;has_streaming_tv;has_streaming_movies;customer_satisfaction;num_complaints;num_service_calls;late_payments;avg_monthly_gb;days_since_last_interaction;credit_score;churn
CUST0000000022;2022-05-20 12:53:58.200099;38;Female;21371.92;bachelor;divorced;0;72;one_year;bank_transfer;Yes;0;130.07;10279.4;3;0;1;1;1;1;0;1;1;2.0;1.0;1;1;122.62;14;749.0;0
CUST0000000023;2023-12-04 12:53:58.200104;67;Female;40625.98;high_school;married;1;11;two_year;mailed_check;Yes;0;79.66;602.01;2;1;1;1;1;0;0;0;1;9.0;0.0;1;0;61.45;26;;0
CUST0000000024;2025-02-02 12:53:58.200110;70;Female;75938.67;master;widowed;1;72;one_year;bank_transfer;Yes;0;59.48;4679.77;3;0;0;0;0;0;0;1;1;4.0;0.0;0;0;0.0;50;816.0;0
CUST0000000025;2021-11-18 12:53:58.200115;52;Male;36441.12;high_school;married;0;14;one_year;credit_card;Yes;0;108.01;1434.73;2;0;1;0;0;0;0;1;1;3.0;0.0;1;0;63.01;14;656.0;0
CUST0000000026;2022-02-04 12:53:58.200121;59;Female;65416.08;high_school;married;1;26;two_year;electronic_check;No;1;94.66;2645.92;1;0;1;0;0;0;1;0;0;3.0;2.0;1;0;3.22;1;699.0;0
CUST0000000027;2023-10-29 12:53:58.200127;29;Female;25813.8;bachelor;single;0;2;two_year;electronic_check;No;0;82.12;153.29;4;1;0;0;0;0;1;0;1;7.0;0.0;1;0;0.0;4;636.0;0
CUST0000000028;2024-12-22 12:53:58.200133;25;Male;34968.77;bachelor;married;0;54;one_year;bank_transfer;Yes;0;99.73;5465.79;2;1;1;0;0;0;1;0;0;2.0;2.0;1;0;33.22;12;627.0;0
CUST0000000029;2022-09-14 12:53:58.200138;42;Male;22135.77;high_school;married;0;8;one_year;mailed_check;Yes;0;73.19;449.74;2;0;1;0;1;1;1;0;0;6.0;0.0;1;0;34.1;78;652.0;0
CUST0000000030;2023-06-01 12:53:58.200144;25;Male;45527.46;college;married;2;7;two_year;credit_card;No;0;127.42;973.24;4;1;1;1;0;1;0;0;0;7.0;1.0;4;0;15.15;14;850.0;0
CUST0000000031;2025-04-10 12:53:58.200149;49;Female;85518.71;master;married;1;1;one_year;electronic_check;Yes;0;94.73;92.2;1;1;1;0;1;0;0;1;0;9.0;0.0;0;0;41.73;1;553.0;0
CUST0000000032;2022-10-15 12:53:58.200155;33;Female;35652.91;master;married;0;18;one_year;credit_card;Yes;0;97.75;1675.03;3;1;1;0;1;0;1;1;0;7.0;0.0;1;0;24.17;141;735.0;0
CUST0000000033;2024-10-09 12:53:58.200160;47;Female;33188.09;high_school;single;0;15;two_year;electronic_check;Yes;0;72.39;1032.19;1;1;1;0;0;0;0;0;1;3.0;1.0;1;1;134.77;18;748.0;0
CUST0000000034;2022-05-15 12:53:58.200166;42;Female;155337.18;high_school;married;0;24;two_year;bank_transfer;Yes;0;105.79;2735.36;3;1;1;1;0;1;0;1;1;9.0;0.0;2;0;;264;631.0;0
CUST0000000035;2025-12-21 12:53:58.200172;54;Male;86689.75;bachelor;divorced;0;72;one_year;credit_card;No;0;83.3;31.151.881.242.285.600;2;1;1;1;0;0;0;1;0;8.0;0.0;1;0;54.41;3;720.0;0
CUST0000000036;2025-05-04 12:53:58.200177;49;Female;68181.73;high_school;single;2;57;two_year;credit_card;Yes;0;43.41;2551.92;1;0;0;0;0;0;1;1;1;9.0;0.0;0;0;0.0;1;719.0;0
CUST0000000037;2023-12-26 12:53:58.200183;38;Female;62693.38;college;married;0;57;two_year;mailed_check;No;0;72.78;4539.53;2;1;1;0;1;1;1;1;0;8.0;2.0;2;0;8.95;41;723.0;0
CUST0000000038;2023-09-08 12:53:58.200189;24;Female;129390.12;master;married;1;17;one_year;bank_transfer;Yes;0;120.27;1361.84;6;1;1;1;1;1;0;1;1;6.0;0.0;0;0;24.74;2;720.0;0
CUST0000000039;2021-09-10 12:53:58.200194;47;Female;179194.0;master;single;0;2;one_year;electronic_check;Yes;0;89.77;165.14;3;1;1;0;1;1;1;1;0;5.0;0.0;2;0;49.65;52;705.0;0
CUST0000000040;2024-09-24 12:53:58.200200;18;Male;57303.69;college;married;1;4;two_year;credit_card;Yes;1;74.37;278.52;1;0;1;0;0;0;0;0;1;5.0;0.0;3;0;;35;695.0;1
CUST0000000041;2023-01-25 12:53:58.200205;63;Female;96002.51;bachelor;divorced;0;72;two_year;credit_card;Yes;0;126.43;8241.53;4;1;1;0;1;0;0;0;0;5.0;3.0;3;0;32.37;7;747.0;0
CUST0000000042;2024-08-19 12:53:58.200211;52;Female;145900.93;master;married;0;12;two_year;electronic_check;No;0;72.78;840.82;1;1;1;1;0;0;0;0;1;5.0;0.0;2;0;22.32;5;612.0;0
CUST0000000043;2021-05-12 12:53:58.200217;57;Male;49599.83;bachelor;widowed;1;48;one_year;bank_transfer;Yes;0;60.66;2868.56;3;0;0;0;0;0;0;1;1;5.0;0.0;2;0;0.0;3;555.0;0
CUST0000000044;2021-12-04 12:53:58.200222;30;Female;48265.75;college;married;0;26;one_year;electronic_check;No;0;86.07;2024.14;2;1;1;1;1;1;1;1;0;7.0;2.0;6;1;63.98;58;535.0;0
CUST0000000045;2024-02-12 12:53:58.200228;50;Female;31257.14;college;single;1;23;one_year;credit_card;Yes;0;69.51;16.348.746.688.910.600;2;1;1;1;1;0;0;0;1;8.0;2.0;2;0;109.51;59;723.0;1
CUST0000000046;2023-05-12 12:53:58.200234;35;Male;20000.0;bachelor;married;1;7;one_year;mailed_check;Yes;0;93.04;667.36;2;1;1;0;0;0;0;0;0;5.0;1.0;3;0;21.9;123;614.0;0
CUST0000000047;2021-01-31 12:53:58.200239;47;Female;30347.14;college;single;1;54;one_year;credit_card;Yes;1;115.93;5894.7;3;1;1;0;0;1;1;1;0;8.0;0.0;0;0;36.13;5;804.0;0
CUST0000000048;2025-07-06 12:53:58.200245;30;Female;68453.0;college;single;1;5;two_year;credit_card;No;0;49.85;232.55;1;1;0;0;0;0;0;1;0;7.0;0.0;2;1;0.0;8;631.0;0
CUST0000000049;2023-05-30 12:53:58.200250;43;Male;56563.38;master;married;1;12;one_year;credit_card;No;1;50.08;393.64;3;1;0;0;0;0;1;0;1;6.0;0.0;1;0;0.0;8;628.0;1
CUST0000000050;2024-02-25 12:53:58.200256;24;Male;61571.35;master;married;1;72;two_year;electronic_check;Yes;0;59.05;4544.76;3;1;1;1;0;0;1;1;0;9.0;0.0;0;0;;21;732.0;0
CUST0000000051;2023-05-30 12:53:58.200262;42;Female;84774.62;college;divorced;0;31;two_year;mailed_check;Yes;1;70.6;2337.15;2;1;1;1;1;0;0;1;1;9.0;0.0;1;0;63.38;75;682.0;0
CUST0000000052;2024-06-28 12:53:58.200267;20;Male;63484.63;high_school;single;1;14;two_year;credit_card;Yes;0;107.73;1617.3;5;1;1;0;1;0;1;0;1;6.0;2.0;3;0;52.35;43;606.0;0
CUST0000000053;2021-09-04 12:53:58.200273;71;Male;76814.13;phd;divorced;1;19;one_year;bank_transfer;Yes;0;69.78;933.1;1;1;1;0;1;0;0;1;1;7.0;0.0;0;1;65.99;28;689.0;1
CUST0000000054;2022-07-24 12:53:58.200279;47;Male;82481.31;bachelor;married;0;12;one_year;credit_card;No;0;88.65;1048.52;2;1;1;0;0;0;1;1;0;9.0;0.0;0;0;113.41;33;;0
CUST0000000055;2023-10-03 12:53:58.200285;45;Female;20000.0;high_school;single;0;31;two_year;credit_card;No;1;84.92;2796.65;5;1;0;0;0;0;0;1;1;4.0;2.0;4;0;0.0;61;767.0;0
CUST0000000056;2021-11-05 12:53:58.200291;55;Male;37644.27;college;married;0;12;two_year;mailed_check;No;0;97.35;1224.84;4;1;1;0;0;1;1;1;0;8.0;3.0;3;0;137.62;61;803.0;0
CUST0000000057;2022-11-14 12:53:58.200296;25;Female;31163.78;bachelor;single;1;26;one_year;electronic_check;Yes;0;30.04;785.52;2;1;0;0;0;0;0;1;0;4.0;0.0;2;0;0.0;17;609.0;1
CUST0000000058;2021-11-25 12:53:58.200303;33;Female;35493.23;high_school;married;0;29;two_year;credit_card;Yes;0;108.25;3160.47;4;1;1;1;1;0;1;0;1;8.0;0.0;1;0;;7;769.0;0
CUST0000000059;2024-04-05 12:53:58.200308;52;Female;102168.87;high_school;married;1;22;one_year;mailed_check;No;1;100.78;2043.05;3;1;1;0;1;0;0;1;0;9.0;0.0;0;0;35.97;149;770.0;0
CUST0000000060;2025-12-22 12:53:58.200314;47;Female;30591.07;bachelor;married;2;18;one_year;credit_card;Yes;1;89.59;1500.33;2;1;1;1;0;0;0;0;1;8.0;1.0;1;0;58.45;46;719.0;0
CUST0000000061;2023-09-24 12:53:58.200320;34;Female;73107.59;phd;single;1;5;one_year;mailed_check;Yes;0;97.89;467.32;2;1;1;0;1;0;1;1;1;8.0;1.0;2;0;15.4;19;822.0;0
CUST0000000062;2025-07-29 12:53:58.200325;54;Female;35451.73;college;single;0;5;two_year;mailed_check;Yes;1;96.57;444.82;6;1;1;1;0;1;1;1;1;6.0;1.0;5;0;26.62;13;621.0;0
CUST0000000063;2022-06-24 12:53:58.200331;49;Female;45743.42;master;married;2;38;two_year;electronic_check;Yes;1;81.11;2876.63;3;1;1;1;1;1;0;1;0;5.0;1.0;5;2;117.64;129;807.0;0
CUST0000000064;2024-12-20 12:53:58.200336;52;Female;101987.58;bachelor;married;0;8;two_year;credit_card;No;0;83.83;651.33;2;1;1;1;0;1;1;0;1;8.0;0.0;2;1;11.5;4;676.0;0
CUST0000000065;2024-05-21 12:53:58.200342;50;Female;137042.93;bachelor;married;1;25;two_year;bank_transfer;No;0;69.75;1711.07;1;1;1;0;0;1;0;0;1;5.0;0.0;2;0;12.19;57;640.0;0
CUST0000000066;2025-03-02 12:53:58.200348;34;Male;44602.25;master;married;0;8;two_year;electronic_check;Yes;0;58.32;490.19;1;1;1;0;0;0;1;1;1;4.0;0.0;3;1;18.37;202;756.0;0
CUST0000000067;2025-12-29 12:53:58.200354;43;Female;51526.51;bachelor;single;0;3;two_year;electronic_check;Yes;0;70.76;213.9;4;1;1;1;1;1;0;1;0;4.0;0.0;1;0;16.65;3;771.0;0
CUST0000000068;2025-05-15 12:53:58.200360;18;Female;88072.01;master;married;1;12;one_year;bank_transfer;No;0;61.53;775.49;1;0;0;0;0;0;0;1;1;3.0;0.0;0;1;0.0;102;662.0;0
CUST0000000069;2023-11-27 12:53:58.200365;37;Male;47909.82;bachelor;married;1;8;one_year;mailed_check;Yes;0;66.73;499.42;3;1;0;0;0;0;0;1;1;9.0;1.0;3;1;0.0;43;697.0;1
CUST0000000070;2022-04-13 12:53:58.200371;41;Male;34378.28;high_school;married;1;6;two_year;electronic_check;Yes;0;105.06;430.03;5;1;1;1;1;1;0;0;1;1.0;0.0;2;1;53.46;23;615.0;0
CUST0000000071;2024-06-26 12:53:58.200377;54;Female;40544.9;high_school;married;0;21;two_year;electronic_check;Yes;0;57.31;806.16;1;1;0;0;0;0;0;1;0;2.0;0.0;1;0;0.0;185;625.0;0
CUST0000000072;2023-07-29 12:53:58.200382;52;Female;56942.87;master;married;0;6;one_year;electronic_check;Yes;0;97.38;616.55;3;1;1;0;0;1;1;1;0;6.0;3.0;6;0;48.39;18;;1
CUST0000000073;2022-04-19 12:53:58.200388;33;Female;38321.79;college;married;2;33;one_year;electronic_check;Yes;0;67.87;2120.85;2;1;1;0;1;0;0;1;1;4.0;0.0;2;1;31.02;1;544.0;0
CUST0000000074;2025-10-12 12:53:58.200393;33;Male;24052.17;high_school;single;2;30;two_year;bank_transfer;Yes;0;90.9;2583.96;2;1;1;0;1;1;0;0;1;5.0;0.0;3;0;23.86;79;647.0;0
CUST0000000075;2022-03-23 12:53:58.200399;64;Male;;college;divorced;0;28;one_year;mailed_check;No;0;80.42;2466.54;4;1;1;1;1;1;1;0;0;2.0;;2;0;44.33;15;668.0;0
CUST0000000076;2023-06-01 12:53:58.200404;40;Female;58462.44;high_school;single;1;2;two_year;bank_transfer;Yes;0;85.59;180.23;3;1;1;1;0;0;0;1;0;1.0;0.0;1;2;18.6;28;684.0;0
CUST0000000077;2021-12-25 12:53:58.200410;46;Female;31702.99;master;married;1;69;two_year;bank_transfer;Yes;1;88.83;6543.12;1;1;1;0;0;1;1;1;0;8.0;1.0;0;0;33.3;60;759.0;0
CUST0000000078;2022-01-21 12:53:58.200418;56;Female;71206.74;phd;married;1;16;two_year;credit_card;Yes;1;88.86;1399.64;1;1;1;0;1;1;1;1;1;9.0;;3;0;57.38;5;;0
CUST0000000079;2024-08-21 12:53:58.200424;43;Male;81901.91;bachelor;married;0;55;two_year;credit_card;Yes;1;52.23;3076.24;1;1;0;0;0;0;0;1;1;5.0;2.0;2;0;0.0;74;684.0;0
CUST0000000080;2023-11-28 12:53:58.200429;42;Female;22912.4;bachelor;married;2;5;one_year;electronic_check;Yes;0;52.57;239.63;2;0;1;0;0;1;0;1;0;5.0;0.0;0;0;51.95;76;805.0;0
CUST0000000081;2025-12-08 12:53:58.200435;40;Male;78345.65;master;married;0;21;one_year;credit_card;No;0;73.76;1400.45;2;1;1;1;1;0;0;0;0;6.0;0.0;1;2;162.06;29;626.0;0
CUST0000000082;2025-06-20 12:53:58.200440;37;Female;77660.36;phd;single;0;72;two_year;credit_card;Yes;1;105.74;5528.49;4;1;1;0;0;0;1;0;1;2.0;0.0;0;0;128.16;47;508.0;0
CUST0000000083;2023-01-03 12:53:58.200446;47;Female;20000.0;master;married;0;72;one_year;credit_card;No;0;110.1;7942.56;3;1;1;1;0;1;1;1;1;7.0;2.0;3;0;26.91;31;429.0;0
CUST0000000084;2021-09-09 12:53:58.200452;18;Male;35079.19;high_school;married;0;1;two_year;credit_card;No;0;63.39;60.55;4;1;0;0;0;0;0;1;1;8.0;0.0;1;2;0.0;19;647.0;0
CUST0000000085;2022-03-02 12:53:58.200458;39;Male;27850.68;high_school;divorced;0;15;two_year;electronic_check;Yes;0;104.84;1663.64;4;1;1;0;1;0;0;1;0;9.0;0.0;1;0;32.22;71;688.0;0
CUST0000000086;2023-03-23 12:53:58.200464;53;Male;83697.95;college;married;1;8;one_year;electronic_check;Yes;0;116.97;1008.57;2;1;1;1;1;0;1;1;1;9.0;0.0;0;0;30.56;8;505.0;0
CUST0000000087;2023-03-27 12:53:58.200470;51;Female;160553.31;bachelor;married;0;1;one_year;credit_card;Yes;0;143.36;149.52;6;1;1;0;1;0;0;1;1;8.0;1.0;1;0;183.45;63;627.0;1
CUST0000000088;2022-02-28 12:53:58.200475;66;Female;74428.01;master;divorced;2;20;two_year;bank_transfer;Yes;1;34.95;751.4;1;0;0;0;0;0;0;1;0;7.0;0.0;2;0;0.0;21;697.0;0
CUST0000000089;2024-06-25 12:53:58.200481;57;Female;133142.71;bachelor;single;1;1;two_year;credit_card;Yes;0;142.45;132.52;6;1;1;0;0;1;1;1;0;8.0;4.0;9;0;17.02;106;610.0;0
CUST0000000090;2022-12-09 12:53:58.200486;51;Female;;bachelor;married;0;22;one_year;credit_card;No;0;99.94;1386.57;2;1;1;1;1;1;1;1;0;2.0;1.0;4;0;86.73;29;691.0;0
CUST0000000091;2021-02-11 12:53:58.200492;45;Male;;master;married;1;48;one_year;credit_card;Yes;0;128.81;6431.69;6;0;1;0;1;0;1;0;0;7.0;0.0;0;0;40.42;92;550.0;0
CUST0000000092;2021-12-03 12:53:58.200497;38;Female;25492.88;college;married;1;51;two_year;mailed_check;Yes;0;105.6;5469.14;2;1;1;1;0;1;0;0;1;7.0;0.0;3;1;13.02;30;607.0;0
CUST0000000093;2024-02-09 12:53:58.200509;52;Female;80239.95;phd;divorced;0;72;one_year;electronic_check;Yes;1;74.08;5510.9;1;0;1;0;0;0;0;1;0;9.0;0.0;0;0;7.03;43;666.0;0
CUST0000000094;2024-12-06 12:53:58.200516;49;Male;80602.35;bachelor;single;0;32;two_year;bank_transfer;Yes;0;94.21;2724.01;5;1;0;0;0;0;0;1;1;9.0;0.0;1;0;0.0;13;709.0;0
CUST0000000095;2024-01-13 12:53:58.200522;39;Female;119969.06;college;divorced;3;4;one_year;credit_card;Yes;0;93.4;359.23;2;0;1;0;0;0;1;0;0;9.0;0.0;1;0;10.21;76;850.0;0
CUST0000000096;2021-09-15 12:53:58.200528;31;Male;46651.77;master;married;2;13;two_year;bank_transfer;Yes;0;85.39;1077.2;2;1;1;0;1;0;1;1;0;9.0;1.0;6;0;54.13;110;635.0;0
CUST0000000097;2025-08-03 12:53:58.200533;44;Male;45357.08;college;divorced;0;52;one_year;credit_card;Yes;0;86.76;4749.52;3;1;1;0;1;0;0;1;0;6.0;1.0;2;2;;16;589.0;0
CUST0000000098;2025-06-24 12:53:58.200539;62;Female;44779.04;bachelor;single;1;7;one_year;mailed_check;Yes;0;113.23;755.76;6;1;1;0;1;0;1;0;1;7.0;0.0;1;1;74.27;25;712.0;0
CUST0000000099;2023-04-22 12:53:58.200545;46;Male;29867.57;college;divorced;1;14;one_year;credit_card;Yes;0;105.65;1411.5;4;1;1;1;0;1;1;1;1;1.0;2.0;3;0;;93;728.0;0
CUST0000000100;2025-04-17 12:53:58.200550;45;Male;34698.81;bachelor;single;1;23;one_year;bank_transfer;Yes;1;106.43;2228.8;3;1;1;0;1;0;0;1;1;8.0;0.0;0;0;78.08;30;554.0;0
CUST0000000101;2023-10-19 12:53:58.200556;51;Male;20573.51;college;married;1;2;one_year;credit_card;Yes;1;93.27;202.91;2;1;1;0;1;0;1;1;0;2.0;0.0;2;0;19.43;87;626.0;0
CUST0000000102;2022-06-27 12:53:58.200562;52;Female;60406.45;bachelor;married;0;16;two_year;bank_transfer;Yes;0;132.8;2136.2;4;1;1;0;1;0;0;1;0;9.0;2.0;3;0;53.15;19;646.0;0
CUST0000000103;2024-10-13 12:53:58.200567;48;Female;40752.79;high_school;single;1;1;one_year;electronic_check;Yes;0;87.67;82.32;4;1;1;0;0;1;1;1;0;1.0;1.0;3;0;18.47;3;777.0;0
CUST0000000104;2021-12-18 12:53:58.200573;44;Female;20000.0;bachelor;married;1;8;two_year;bank_transfer;Yes;0;109.04;867.59;3;1;1;0;0;0;0;0;1;2.0;0.0;0;0;30.79;51;662.0;1
CUST0000000105;2021-03-28 12:53:58.200578;37;Female;96827.89;high_school;married;1;33;one_year;electronic_check;Yes;0;76.74;2725.52;1;1;1;0;0;1;1;1;1;8.0;1.0;2;0;10.35;2;651.0;0
CUST0000000106;2022-07-16 12:53:58.200584;60;Male;27239.14;college;single;1;30;two_year;credit_card;No;0;122.56;2711.18;5;1;1;0;0;1;0;0;0;7.0;3.0;5;0;16.36;19;719.0;0
CUST0000000107;2023-04-01 12:53:58.200590;38;Female;104207.43;high_school;single;0;68;one_year;mailed_check;No;0;110.55;35.095.330.949.970.700;3;0;1;0;0;0;1;1;1;6.0;0.0;1;1;13.79;167;808.0;1
CUST0000000108;2021-04-22 12:53:58.200595;68;Male;119606.25;college;single;0;36;two_year;electronic_check;Yes;0;114.55;4284.72;3;1;1;1;1;0;1;0;1;4.0;1.0;2;0;50.72;36;601.0;0
CUST0000000109;2025-03-22 12:53:58.200601;47;Male;20000.0;phd;single;2;5;two_year;bank_transfer;Yes;0;80.98;398.2;4;1;1;1;1;0;1;1;1;7.0;0.0;2;3;69.31;22;636.0;0
CUST0000000110;2021-03-30 12:53:58.200607;45;Male;20000.0;high_school;married;0;56;one_year;mailed_check;Yes;1;54.31;2762.61;2;1;1;1;0;0;1;0;1;8.0;0.0;2;1;58.61;1;682.0;0
CUST0000000111;2024-01-23 12:53:58.200613;56;Female;26812.03;college;married;0;19;one_year;mailed_check;Yes;1;64.42;17.076.690.145.396.300;2;1;1;1;0;1;1;1;1;5.0;1.0;2;0;41.03;68;850.0;0
CUST0000000112;2021-03-06 12:53:58.200618;35;Male;58821.91;college;divorced;3;44;one_year;bank_transfer;Yes;1;117.18;5419.0;3;1;1;0;0;0;1;0;0;5.0;0.0;1;1;60.01;205;754.0;0
CUST0000000113;2025-02-08 12:53:58.200624;53;Male;24733.51;bachelor;single;1;61;one_year;electronic_check;Yes;0;88.33;3708.06;2;1;1;0;0;1;0;1;0;4.0;1.0;1;0;38.09;14;850.0;0
CUST0000000114;2023-08-17 12:53:58.200629;46;Female;40786.31;bachelor;married;2;42;one_year;credit_card;Yes;0;89.91;3877.54;5;0;1;0;1;1;1;0;1;6.0;0.0;0;2;79.83;43;646.0;0
CUST0000000115;2023-01-31 12:53:58.200635;51;Female;26068.8;college;married;0;12;one_year;credit_card;Yes;0;34.87;394.82;1;1;1;0;1;1;0;0;1;3.0;2.0;3;0;13.41;29;744.0;0
CUST0000000116;2023-11-12 12:53:58.200640;34;Male;25179.43;bachelor;married;0;21;two_year;mailed_check;Yes;0;86.62;1832.65;2;0;0;0;0;0;0;1;1;1.0;2.0;3;1;;63;524.0;0
CUST0000000117;2025-06-09 12:53:58.200646;34;Male;29207.98;bachelor;single;1;13;two_year;bank_transfer;Yes;0;72.82;1029.65;2;1;1;1;1;0;1;1;0;5.0;3.0;5;0;22.31;46;560.0;0
CUST0000000118;2023-12-10 12:53:58.200652;18;Male;43989.63;high_school;single;1;28;one_year;electronic_check;No;0;84.64;2289.35;2;0;1;0;1;1;0;1;0;3.0;0.0;1;0;25.31;31;800.0;1
CUST0000000119;2025-07-08 12:53:58.200657;38;Male;139353.65;high_school;married;2;15;one_year;bank_transfer;Yes;0;96.37;1333.21;1;1;1;0;1;0;0;1;1;8.0;1.0;5;1;19.68;72;714.0;1
CUST0000000120;2024-12-28 12:53:58.200663;37;Female;50636.57;master;divorced;1;3;one_year;bank_transfer;No;0;113.9;262.83;3;1;1;1;1;1;1;0;0;6.0;0.0;0;0;28.98;3;645.0;0
CUST0000000121;2024-09-06 12:53:58.200669;34;Male;36224.01;college;widowed;0;24;one_year;electronic_check;Yes;0;111.09;2480.06;3;1;1;1;0;1;0;0;1;2.0;1.0;1;0;5.84;16;672.0;0
CUST0000000122;2023-02-12 12:53:58.200674;43;Male;27144.71;high_school;divorced;1;5;one_year;electronic_check;No;1;142.44;530.19;6;1;1;0;0;1;1;1;1;9.0;2.0;2;0;39.89;16;778.0;0
CUST0000000123;2022-10-19 12:53:58.200680;45;Male;40252.74;high_school;divorced;1;32;two_year;electronic_check;Yes;0;114.41;2307.73;5;1;1;0;1;1;1;1;1;7.0;0.0;2;3;116.1;4;659.0;0
CUST0000000124;2025-12-28 12:53:58.200686;52;Male;78653.51;college;married;0;2;two_year;electronic_check;Yes;0;114.27;226.96;3;1;1;1;1;0;1;0;1;4.0;0.0;1;0;23.04;61;;0
